id,title,upload_date,plays_count,likes_count,reposts_count,comments_count,tags,url
251122276,Intoxicated (Original Club Mix)-Martin Solveig.mp3,10 March 2016,432,4,0,0,,https://soundcloud.com/danny-palmen/intoxicated-original-club-mix
250752081,Cat Dealers - Your Body,8 March 2016,9716622,185420,11723,1428,Cat House,https://soundcloud.com/catdealers/cat-dealers-your-body
473986050,Miyagi & Эндшпиль - Don't Cry (feat. Рем Дигга),20 July 2018,631623,7986,111,11,"Hip-hop & Rap, Miyagi, Эндшпиль, Hajime",https://soundcloud.com/odessabeats048/miyagi-dont-cry-feat
519479715,Đi Về Phía Thinh Lặng - Bùi Anh Tuấn Ft. Orange,25 October 2018,2057748,12392,587,40,,https://soundcloud.com/nguyencaospr/di-ve-phia-thinh-lang-bui-anh-tuan-ft-orange
498908052,Ai Là Ai Của Ai - Trịnh Thăng Bình,12 September 2018,143268,762,36,1,Pop,https://soundcloud.com/user-797366112/ai-la-ai-cua-ai-trinh-thang-binh
556379847,Anh Là Ai - Phương Ly,9 January 2019,2148264,19473,749,128,"pop, anhlaai #phuongly #littleflowe",https://soundcloud.com/lqh102/anh-la-ai-phuong-ly
373713782,[ Official Audio ] Anh muốn nghe giọng em - Nguyên. X LYM & $eth,24 December 2017,2376023,24272,1525,242,anhmuonnghegiongem,https://soundcloud.com/nguyenne/official-audio-anh-muon-nghe-giong-em-nguyen-x-lym-eth
40014890,Mat em - Noo Phuoc Thinh,17 March 2012,277715,1594,47,5,,https://soundcloud.com/user3639737/mat-em-noo-phuoc-thinh
355438928,Mặt Trời Của Em - Phương Ly ft Justatee,14 November 2017,2143412,20824,900,108,Nhac tre,https://soundcloud.com/tr-n-minh-h-ng/mat-troi-cua-em
114962304,Anh Muon Em Song Sao - Bao Anh,12 October 2013,381711,2226,159,10,iplay,https://soundcloud.com/vu-ho-4/anh-muon-em-song-sao-bao-anh
22330449,Cau Vong Khuyet - Tuan Hung - LYRICS,1 September 2011,265980,1608,88,4,,https://soundcloud.com/smexylizzie/cau-vong-khuyet-tuan-hung
