id,title,create_date,likes_count,reposts_count,tracks_count,total_playtime,tags,url
191427863,Never Chill Before,1 June 2016,268642,21362,36,2:25:23,"deep house, chill, High",https://soundcloud.com/bi-s-n-3/sets/chilloutwithme
321956822,Best Of Chill Nation,10 May 2017,237907,16781,111,6:19:13,"Chill, Chill Nation, Deep House, Party, House, Chillout, Chill, Nation, Dance, Relax, workout, sleep",https://soundcloud.com/ilyanaazman/sets/bestofchillnation
322854746,Gentle Dreams 🛏️ - An Indie/Chill/Electronic Playlist,14 May 2017,120993,9222,18,1:09:50,"Electronic, Indie, Chill, Chillout, Electronic Pop, Acoustic, Slow",https://soundcloud.com/alexrainbirdmusic/sets/gentle-dreams-an-indie-chill
591087501,"Study, Chill, Relax, Gaming ~ Audible Adderall #14",27 August 2018,101761,5007,62,5:19:11,"Ambient, study, Chill, Relax, Study, Chillout, Deep House, New Music, Melodic House, Melodic, Vibes, Summer, Pool, Beach, Tik Tok, Tiktok",https://soundcloud.com/mugatunesofficial/sets/audible-adderall-14
439472172,Chill Out 2018,3 February 2018,84085,5981,31,8:59:08,,https://soundcloud.com/thiago-silva-394/sets/chill-out-2018
306206740,CHILL STUDY VIBES,10 March 2017,91481,6621,28,2:50:14,"chillstep, vibes, study",https://soundcloud.com/alkhaw/sets/chill-study-vibes
170929477,Chill,1 December 2015,140,20,21,58:32,,https://soundcloud.com/user-340383418/sets/chill
347947878,Best Chill Trap,26 August 2017,92694,6211,35,2:15:14,"Dance & EDM, party, chill, study, workout, Edm",https://soundcloud.com/digitalstreams/sets/chilltrap
212510885,"Study, Chill, Relax, Gaming ~ Audible Adderall #7",4 April 2016,70619,4154,62,5:19:49,"Ambient, Study, College, Chill, Homework, Melodic, Progressive, House, Vibes, Vocals, Electronic, Exam, Sleep, Relax",https://soundcloud.com/mugatunesofficial/sets/audible-adderall-vol-7
89657406,"Acoustic House Vol. 1 (Chill, Relax & Study)",16 March 2015,57392,5602,79,6:03:41,"tropical house, tropicalhouse, chillhouse, filous, teemid, study, chill, relax",https://soundcloud.com/auxlondon/sets/acoustic-house-vol-1
