user_id,full_name,username,track_id,followers_count
331722123,@ssgkobe,ssgkobe,1147770754,77237
291931305,Quando Rondo,Quando Rondo,1148779180,298787
185081323,null,Lil Poppa,1146277444,41616
590665770,Slimelife Shawty,Slimelife Shawty,1134088519,21203
174816659,null,100 Proof Haze,1021382098,653
26269536,Young Nero,Young Nero,1060922269,1863
174816659,null,100 Proof Haze,1016489779,653
174816659,null,100 Proof Haze,886031206,653
206059152,null,Big B,1055565844,771
206059152,null,Big B,1049832541,771
26269536,Young Nero,Young Nero,814519735,1863
26269536,Young Nero,Young Nero,893651668,1863
26269536,Young Nero,Young Nero,942167284,1863
248813511,@yungfazoo,Yung Fazo,924241717,18443
26269536,Young Nero,Young Nero,798985408,1863
10268807,Glo Gang,@GloGangUpdates,174631643,24179
54104705,Nicolas Tremblay,Lechilleux,215693610,1203
15017483,Migos,Migos,132267220,1304822
38863592,Kevin Gates,Kevin Gates,136505569,791652
65593980,null,Rob $TONE,153750957,105770
4791237,Denzel Curry,DENZELCURRYPH,613981179,485821
12891691,null,smokepurpp,377243102,631380
173834487,null,Lil Pump,318511652,1404022
98022439,JID Dicaprio,JID,499013883,171995
12891691,null,smokepurpp,321998866,631380
24807743,null,NAV,309149767,633603
316762055,null,JD Tripp,543337275,100
150477357,MIDNIGHT SOCIETY,YUNG BAMBI,680400272,14404
24640467,null,Sueco,679646198,45221
342298246,lie chee,lychee,461724303,726
6969018,Tyga,Tyga,443954730,455108
6969018,Tyga,Tyga,475745055,455108
179953397,Jacob Andersson,drippintears,384678425,82
428164245,null,T.Plug,440920899,4095
189304406,null,MXTT HXLL,940942039,9650
462197514,Whatermark UK,Khomeinot UK,873999265,5
462197514,Whatermark UK,Khomeinot UK,873956737,5
191184546,null,Morray,940781140,34543
193580871,Dale lewis,D1G,690598840,188
847127362,Pnw West,Miguel Pierre ( yung guel),851042101,566
847127362,Pnw West,Miguel Pierre ( yung guel),869096194,566
58125708,null,ChrisTheCooker,659382224,478
58125708,null,ChrisTheCooker,719402194,478
58125708,null,ChrisTheCooker,751798246,478
58125708,null,ChrisTheCooker,492944823,478
58125708,null,ChrisTheCooker,472857279,478
58125708,null,ChrisTheCooker,453166938,478
847127362,Pnw West,Miguel Pierre ( yung guel),851045683,566
443950611,Record Label,Hardwired Hip Hop,945777091,20443
64053399,null,Roddy Ricch,1061728813,594941
131652361,Darryl,DDG,1005564706,257828
1078461,October's Very Own,octobersveryown,1118019991,2860613
146137028,null,Flipp Dinero,1103041021,109955
5324694,Nasir Jones,Nasir Jones,1099564969,367997
692356643,null,Lonr.,1103729464,5422
26579155,null,SNF.JT,1038551005,251
692023478,null,Godfather of Harlem,1095317266,516
638003958,null,Sheff G,1102747825,137704
99638593,null,2Floody,1118066803,21551
454955073,Polo CAPALOT,POLO G,1064620738,823037
174006135,null,Kanye West,1114928752,1201621
309532562,null,Leeto,1075406308,1902
465377892,null,Fase Yoda,1074109891,14138
2492807,null,DSG,183096446,156141
38749873,null,Mickey Valen,284103578,52307
91034879,null,Tay White,767827897,2921
189957557,null,Soúcra.,241300981,150
247021914,null,Lowly.,311009461,157120
26269536,Young Nero,Young Nero,695487466,1863
194950607,EXIT 55,EXIT 55,338486872,282
4371329,null,EMPIRE,249686647,136649
113393490,Scotty Chams,ScottyChams,346911568,2561
211271997,null,TRT3_sounds,251234001,284
9758748,Raghavendra Raju Ambati,Raghavendra Raju Ambati,99230646,379
5472477,Gioni,Gioni,146341001,107437
8201076,null,DISTO,274942852,52396
266852,null,Wizard,325360268,52119
163598,null,Rapzilla,131848334,106583
329953205,null,SavageMaul,985519432,392
334275574,null,roman_tilus,951367360,91
334275574,null,roman_tilus,951367318,91
334275574,null,roman_tilus,951367291,91
334275574,null,roman_tilus,361199669,91
334275574,null,roman_tilus,473217933,91
334275574,null,roman_tilus,946942912,91
334275574,null,roman_tilus,411560241,91
334275574,null,roman_tilus,361199222,91
329953205,null,SavageMaul,985521109,392
883906315,Stace Loyd,"STACE ""THE GREAT"" LOYD",953754103,205
771295249,Keefe,Keefe,981525037,1369
551962626,null,Trucci,934980376,167
12756528,DAVE EAST,DAVE EAST,911447290,182293
12756528,DAVE EAST,DAVE EAST,268323941,182293
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,1080322432,23517
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,1060951051,23517
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,1004445667,23517
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,951866101,23517
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,940933261,23517
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,266178815,23517
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,221469452,23517
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,935903548,23517
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,225023684,23517
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,935903554,23517
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,1024603066,23517
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,253952467,23517
